,symbol,marketCap,priceToBook,profitMargin,revenue,bookToPrice,BookValue,s1,s2,s3
289,LUV,35893851011,4.06,-0.42484965859044477,7179565140.0,0.24630541871921185,8840850002.70936,0.11382442510609082,0.19193825204950452,0.0
290,LVS,44933722869,16.27,-0.6522422062647412,3121940827.0,0.06146281499692686,2761753095.8205285,0.03555709669549888,0.10727708129382976,0.0
291,LW,11182309271,25.18,0.0716804279436532,3618192044.0,0.03971405877680699,444094887.64892775,0.00571764539198177,0.0430182175132517,0.0
292,LYB,36933324708,4.5,0.08337951912478228,29371418821.0,0.2222222222222222,8207405490.666666,0.10566893582646593,0.18493430075844194,0.0
293,LYV,19456304453,-27.15,-2.372285422826652,802688162.0,-0.03683241252302026,-716622631.7863721,0.0,0.0,0.0
294,MA,360247094344,58.4,0.435954866117742,15784220992.0,0.017123287671232876,6168614629.1780815,0.07941985370773622,0.16032761940199103,0.0
295,MAA,18181428545,3.1,0.16164479699909048,1704585244.0,0.3225806451612903,5864976950.0,0.07551057074711578,0.1563319262657641,0.0
296,MAR,46114748440,199.09,0.02755868996115801,8324465265.0,0.005022853985634637,231627647.99839267,0.0029821661790453693,0.031067744362910914,0.0
297,MAS,15923832491,-963.04,0.10425049161154215,7668975420.0,-0.0010383784681840837,-16534964.789624522,0.0,0.0,0.0
298,MCD,176841564570,-24.15,0.2678553607159901,20099600213.0,-0.041407867494824016,-7322632073.291925,0.0,0.0,0.0
299,MCHP,39665416012,7.29,0.0653735455946883,5492756038.0,0.13717421124828533,5441072155.281207,0.07005286933336087,0.1505763504804022,0.0
300,MCK,31564299623,-1540.75,-0.019882919970558664,250037140717.0,-0.0006490345610903781,-20486321.351938993,0.0,0.0,0.0
301,MCO,61749033061,30.9,0.3627726068354695,5758268342.0,0.03236245954692557,1998350584.498382,0.02572842049930056,0.09125367536086809,0.0
302,MDLZ,88171442485,3.35,0.14000692100428397,27133295300.0,0.29850746268656714,26319833577.61194,0.33886333609795005,0.3311738933581298,0.0
303,MDT,168958466651,3.49,0.1067942567342078,28724666811.0,0.28653295128939826,48412168094.84241,0.6232983479921195,0.44915039981103455,0.0
304,MET,56636697384,0.871,0.017571721319956952,67411928242.0,1.148105625717566,65024910888.63375,0.8371845577297757,0.5205403589000186,3.9966325056638365
305,MGM,19131757645,3.1,-0.4888123570241445,4718332865.0,0.3225806451612903,6171534724.193548,0.07945744942944723,0.16036556280725933,0.0
306,MHK,15070352745,1.78,0.06587900857913205,9986087114.0,0.5617977528089888,8466490306.179776,0.10900460832067857,0.18783055080448544,0.0
307,MKC,24692029276,5.86,0.13574444034879538,5998472135.0,0.1706484641638225,4213656873.0375423,0.05425010841953472,0.13250861293518662,0.0
308,MKTX,17164891391,17.5,0.43003226668118494,717445168.0,0.05714285714285714,980850936.6285714,0.012628287318787592,0.0639316671773363,0.0
309,MLM,23274759320,4.1,0.16720860447576533,4904997559.0,0.24390243902439027,5676770565.853659,0.07308744588127276,0.15380313764077555,0.0
310,MMC,68920179677,7.52,0.13036872152699167,18022783265.0,0.13297872340425532,9164917510.23936,0.11799673859731188,0.19542440777773729,0.0
311,MMM,121176470713,8.75,0.17933512640730676,33631588257.0,0.11428571428571428,13848739510.057142,0.17830014225930546,0.240225799550342,0.0
312,MNST,48875573972,8.97,0.315975411602415,4978809504.0,0.11148272017837234,5448781936.6778145,0.07015213144445806,0.15068299304667132,0.0
313,MO,92569173185,32.48,0.16950676675480086,26266321966.0,0.030788177339901482,2850036120.227833,0.036693725469509164,0.10897821907763887,0.0
314,MOS,13754095813,1.49,0.11604116677605361,9464058042.0,0.6711409395973155,9230936787.248323,0.11884672544802896,0.19612701241053243,0.5152222563955503
315,MPC,40095924809,1.91,-0.012839453086524148,68789514917.0,0.5235602094240838,20992630790.052357,0.2702765153135563,0.29576580268020125,0.0
316,MRK,200730977960,7.6,0.147796579767444,50172131933.0,0.13157894736842105,26411970784.210526,0.34004958680560277,0.3317530531687078,0.0
317,MRO,9070969880,0.898,-0.4142102038037193,3405242454.0,1.1135857461024499,10101302761.69265,0.13005253785777093,0.2051649734874782,3.7042394029069237
318,MS,162088312701,1.7,0.23428807657712689,58078885055.0,0.5882352941176471,95346066294.70589,1.2275642250231829,0.6303270055720588,0.01900953818563444
319,MSCI,37069868845,-78.89,0.3885487205860477,1801179798.0,-0.012675877804537964,-469893127.7094689,0.0,0.0,0.0
320,MSFT,1871256144254,13.62,0.36565986957096824,164836078551.0,0.07342143906020558,137390318961.38033,1.768876755756408,0.7566457381242987,0.0
321,MSI,33585793579,-70.34,0.13617012558919336,7829684164.0,-0.014216661927779357,-477477872.8888257,0.0,0.0,0.0
322,MTB,21390111969,1.4,0.2414400391854499,6420587213.0,0.7142857142857143,15278651406.428572,0.19671001229521368,0.2523231138094055,0.7849594894714476
323,MTD,30159118926,145.49,0.2086417808817886,3316330982.0,0.006873324627122138,207293414.84638116,0.0026688671073411274,0.029390520492723348,0.0
324,MU,89890483689,2.24,0.1389394542473295,23735855081.0,0.4464285714285714,40129680218.303566,0.5166627393451809,0.40892849467173736,0.0
325,MXIM,26110884852,11.77,0.3207272621782274,2516026416.0,0.08496176720475786,2218426920.3058624,0.028561865518169176,0.09614729883796858,0.0
326,MYL,8859095038,,,11825637038.0,,,0.0,0.0,0.0
327,NBL,4204279867,,,4437548386.0,,,0.0,0.0,0.0
328,NCLH,6229517478,1.49,-97.11589646455833,36438300.0,0.6711409395973155,4180884213.422819,0.05382816605667365,0.13199229933884515,0.5152222563955503
329,NDAQ,26494949867,4.4,0.17515257208221968,6166962532.0,0.22727272727272727,6021579515.227273,0.07752680187327117,0.1584053105041965,0.0
330,NEE,140122698361,3.83,0.24933689797930775,17567090390.0,0.2610966057441253,36585560929.76501,0.47103281231308775,0.39045355678955534,0.0
